
================ Toxicity Prediction Run ================
inputFile               : combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (1989633, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 56 | processed unique SMILES: 56000/1989633 | new selected: 35 | total selected: 15150
Diversity chunk 57 | processed unique SMILES: 57000/1989633 | new selected: 209 | total selected: 15359
Diversity chunk 58 | processed unique SMILES: 58000/1989633 | new selected: 224 | total selected: 15583
Diversity chunk 59 | processed unique SMILES: 59000/1989633 | new selected: 260 | total selected: 15843
Diversity chunk 60 | processed unique SMILES: 60000/1989633 | new selected: 439 | total selected: 16282
Diversity chunk 61 | processed unique SMILES: 61000/1989633 | new selected: 198 | total selected: 16480
Diversity chunk 62 | processed unique SMILES: 62000/1989633 | new selected: 0 | total selected: 16480
Diversity chunk 63 | processed unique SMILES: 63000/1989633 | new selected: 0 | total selected: 16480
Diversity chunk 64 | processed unique SMILES: 64000/1989633 | new selected: 104 | total selected: 16584
Diversity chunk 65 | processed unique SMILES: 65000/1989633 | new selected: 311 | total selected: 16895
Diversity chunk 66 | processed unique SMILES: 66000/1989633 | new selected: 140 | total selected: 17035
Diversity chunk 67 | processed unique SMILES: 67000/1989633 | new selected: 5 | total selected: 17040
Diversity chunk 68 | processed unique SMILES: 68000/1989633 | new selected: 0 | total selected: 17040
Diversity chunk 69 | processed unique SMILES: 69000/1989633 | new selected: 1 | total selected: 17041
Diversity chunk 70 | processed unique SMILES: 70000/1989633 | new selected: 132 | total selected: 17173
Diversity chunk 71 | processed unique SMILES: 71000/1989633 | new selected: 97 | total selected: 17270
Diversity chunk 72 | processed unique SMILES: 72000/1989633 | new selected: 273 | total selected: 17543
Diversity chunk 73 | processed unique SMILES: 73000/1989633 | new selected: 525 | total selected: 18068
Diversity chunk 74 | processed unique SMILES: 74000/1989633 | new selected: 313 | total selected: 18381
Diversity chunk 75 | processed unique SMILES: 75000/1989633 | new selected: 251 | total selected: 18632
Diversity chunk 76 | processed unique SMILES: 76000/1989633 | new selected: 264 | total selected: 18896
Diversity chunk 77 | processed unique SMILES: 77000/1989633 | new selected: 56 | total selected: 18952
Diversity chunk 78 | processed unique SMILES: 78000/1989633 | new selected: 181 | total selected: 19133
Diversity chunk 79 | processed unique SMILES: 79000/1989633 | new selected: 208 | total selected: 19341
Diversity chunk 80 | processed unique SMILES: 80000/1989633 | new selected: 416 | total selected: 19757
Diversity chunk 81 | processed unique SMILES: 81000/1989633 | new selected: 370 | total selected: 20127
Diversity chunk 82 | processed unique SMILES: 82000/1989633 | new selected: 263 | total selected: 20390
Diversity chunk 83 | processed unique SMILES: 83000/1989633 | new selected: 210 | total selected: 20600
Diversity chunk 84 | processed unique SMILES: 84000/1989633 | new selected: 399 | total selected: 20999
Diversity chunk 85 | processed unique SMILES: 85000/1989633 | new selected: 304 | total selected: 21303
Diversity chunk 86 | processed unique SMILES: 86000/1989633 | new selected: 293 | total selected: 21596
Diversity chunk 87 | processed unique SMILES: 87000/1989633 | new selected: 272 | total selected: 21868
Diversity chunk 88 | processed unique SMILES: 88000/1989633 | new selected: 235 | total selected: 22103
Diversity chunk 89 | processed unique SMILES: 89000/1989633 | new selected: 319 | total selected: 22422
Diversity chunk 90 | processed unique SMILES: 90000/1989633 | new selected: 367 | total selected: 22789
Diversity chunk 91 | processed unique SMILES: 91000/1989633 | new selected: 432 | total selected: 23221
Diversity chunk 92 | processed unique SMILES: 92000/1989633 | new selected: 455 | total selected: 23676
Diversity chunk 93 | processed unique SMILES: 93000/1989633 | new selected: 294 | total selected: 23970
Diversity chunk 94 | processed unique SMILES: 94000/1989633 | new selected: 300 | total selected: 24270
Diversity chunk 95 | processed unique SMILES: 95000/1989633 | new selected: 120 | total selected: 24390
Diversity chunk 96 | processed unique SMILES: 96000/1989633 | new selected: 273 | total selected: 24663
Diversity chunk 97 | processed unique SMILES: 97000/1989633 | new selected: 250 | total selected: 24913
Diversity chunk 98 | processed unique SMILES: 98000/1989633 | new selected: 10 | total selected: 24923
Diversity chunk 99 | processed unique SMILES: 99000/1989633 | new selected: 258 | total selected: 25181
Diversity chunk 100 | processed unique SMILES: 100000/1989633 | new selected: 400 | total selected: 25581
Diversity chunk 101 | processed unique SMILES: 101000/1989633 | new selected: 284 | total selected: 25865
Diversity chunk 102 | processed unique SMILES: 102000/1989633 | new selected: 494 | total selected: 26359
Diversity chunk 103 | processed unique SMILES: 103000/1989633 | new selected: 309 | total selected: 26668
Diversity chunk 104 | processed unique SMILES: 104000/1989633 | new selected: 265 | total selected: 26933
Diversity chunk 105 | processed unique SMILES: 105000/1989633 | new selected: 50 | total selected: 26983
Diversity chunk 106 | processed unique SMILES: 106000/1989633 | new selected: 339 | total selected: 27322
Diversity chunk 107 | processed unique SMILES: 107000/1989633 | new selected: 190 | total selected: 27512
Diversity chunk 108 | processed unique SMILES: 108000/1989633 | new selected: 256 | total selected: 27768
Diversity chunk 109 | processed unique SMILES: 109000/1989633 | new selected: 219 | total selected: 27987
Diversity chunk 110 | processed unique SMILES: 110000/1989633 | new selected: 224 | total selected: 28211
Diversity chunk 111 | processed unique SMILES: 111000/1989633 | new selected: 238 | total selected: 28449
Diversity chunk 112 | processed unique SMILES: 112000/1989633 | new selected: 183 | total selected: 28632
Diversity chunk 113 | processed unique SMILES: 113000/1989633 | new selected: 58 | total selected: 28690
Diversity chunk 114 | processed unique SMILES: 114000/1989633 | new selected: 98 | total selected: 28788
Diversity chunk 115 | processed unique SMILES: 115000/1989633 | new selected: 159 | total selected: 28947
Diversity chunk 116 | processed unique SMILES: 116000/1989633 | new selected: 189 | total selected: 29136
Diversity chunk 117 | processed unique SMILES: 117000/1989633 | new selected: 361 | total selected: 29497
Diversity chunk 118 | processed unique SMILES: 118000/1989633 | new selected: 30 | total selected: 29527
Diversity chunk 119 | processed unique SMILES: 119000/1989633 | new selected: 30 | total selected: 29557
Diversity chunk 120 | processed unique SMILES: 120000/1989633 | new selected: 4 | total selected: 29561
Diversity chunk 121 | processed unique SMILES: 121000/1989633 | new selected: 208 | total selected: 29769
Diversity chunk 122 | processed unique SMILES: 122000/1989633 | new selected: 160 | total selected: 29929
Diversity chunk 123 | processed unique SMILES: 123000/1989633 | new selected: 120 | total selected: 30049
Diversity chunk 124 | processed unique SMILES: 124000/1989633 | new selected: 214 | total selected: 30263
Diversity chunk 125 | processed unique SMILES: 125000/1989633 | new selected: 201 | total selected: 30464
Diversity chunk 126 | processed unique SMILES: 126000/1989633 | new selected: 66 | total selected: 30530
Diversity chunk 127 | processed unique SMILES: 127000/1989633 | new selected: 54 | total selected: 30584
Diversity chunk 128 | processed unique SMILES: 128000/1989633 | new selected: 497 | total selected: 31081
Diversity chunk 129 | processed unique SMILES: 129000/1989633 | new selected: 501 | total selected: 31582
Diversity chunk 130 | processed unique SMILES: 130000/1989633 | new selected: 278 | total selected: 31860
Diversity chunk 131 | processed unique SMILES: 131000/1989633 | new selected: 368 | total selected: 32228
Diversity chunk 132 | processed unique SMILES: 132000/1989633 | new selected: 291 | total selected: 32519
Diversity chunk 133 | processed unique SMILES: 133000/1989633 | new selected: 243 | total selected: 32762
Diversity chunk 134 | processed unique SMILES: 134000/1989633 | new selected: 224 | total selected: 32986
Diversity chunk 135 | processed unique SMILES: 135000/1989633 | new selected: 349 | total selected: 33335
Diversity chunk 136 | processed unique SMILES: 136000/1989633 | new selected: 279 | total selected: 33614
Diversity chunk 137 | processed unique SMILES: 137000/1989633 | new selected: 162 | total selected: 33776
Diversity chunk 138 | processed unique SMILES: 138000/1989633 | new selected: 229 | total selected: 34005
Diversity chunk 139 | processed unique SMILES: 139000/1989633 | new selected: 314 | total selected: 34319
Diversity chunk 140 | processed unique SMILES: 140000/1989633 | new selected: 276 | total selected: 34595
Diversity chunk 141 | processed unique SMILES: 141000/1989633 | new selected: 168 | total selected: 34763
Diversity chunk 142 | processed unique SMILES: 142000/1989633 | new selected: 278 | total selected: 35041
Diversity chunk 143 | processed unique SMILES: 143000/1989633 | new selected: 244 | total selected: 35285
Diversity chunk 144 | processed unique SMILES: 144000/1989633 | new selected: 303 | total selected: 35588
Diversity chunk 145 | processed unique SMILES: 145000/1989633 | new selected: 328 | total selected: 35916
Diversity chunk 146 | processed unique SMILES: 146000/1989633 | new selected: 167 | total selected: 36083
Diversity chunk 147 | processed unique SMILES: 147000/1989633 | new selected: 205 | total selected: 36288
Diversity chunk 148 | processed unique SMILES: 148000/1989633 | new selected: 46 | total selected: 36334
Diversity chunk 149 | processed unique SMILES: 149000/1989633 | new selected: 76 | total selected: 36410
Diversity chunk 150 | processed unique SMILES: 150000/1989633 | new selected: 214 | total selected: 36624
Diversity chunk 151 | processed unique SMILES: 151000/1989633 | new selected: 228 | total selected: 36852
Diversity chunk 152 | processed unique SMILES: 152000/1989633 | new selected: 157 | total selected: 37009
Diversity chunk 153 | processed unique SMILES: 153000/1989633 | new selected: 312 | total selected: 37321
Diversity chunk 154 | processed unique SMILES: 154000/1989633 | new selected: 225 | total selected: 37546
Diversity chunk 155 | processed unique SMILES: 155000/1989633 | new selected: 272 | total selected: 37818
Diversity chunk 156 | processed unique SMILES: 156000/1989633 | new selected: 219 | total selected: 38037
Diversity chunk 157 | processed unique SMILES: 157000/1989633 | new selected: 413 | total selected: 38450
Diversity chunk 158 | processed unique SMILES: 158000/1989633 | new selected: 389 | total selected: 38839
Diversity chunk 159 | processed unique SMILES: 159000/1989633 | new selected: 365 | total selected: 39204
Diversity chunk 160 | processed unique SMILES: 160000/1989633 | new selected: 241 | total selected: 39445
Diversity chunk 161 | processed unique SMILES: 161000/1989633 | new selected: 169 | total selected: 39614
Diversity chunk 162 | processed unique SMILES: 162000/1989633 | new selected: 261 | total selected: 39875
Diversity chunk 163 | processed unique SMILES: 163000/1989633 | new selected: 305 | total selected: 40180
Diversity chunk 164 | processed unique SMILES: 164000/1989633 | new selected: 41 | total selected: 40221
Diversity chunk 165 | processed unique SMILES: 165000/1989633 | new selected: 55 | total selected: 40276
Diversity chunk 166 | processed unique SMILES: 166000/1989633 | new selected: 187 | total selected: 40463
Diversity chunk 167 | processed unique SMILES: 167000/1989633 | new selected: 105 | total selected: 40568
Diversity chunk 168 | processed unique SMILES: 168000/1989633 | new selected: 27 | total selected: 40595
Diversity chunk 169 | processed unique SMILES: 169000/1989633 | new selected: 377 | total selected: 40972
Diversity chunk 170 | processed unique SMILES: 170000/1989633 | new selected: 280 | total selected: 41252
Diversity chunk 171 | processed unique SMILES: 171000/1989633 | new selected: 301 | total selected: 41553
Diversity chunk 172 | processed unique SMILES: 172000/1989633 | new selected: 144 | total selected: 41697
Diversity chunk 173 | processed unique SMILES: 173000/1989633 | new selected: 256 | total selected: 41953
Diversity chunk 174 | processed unique SMILES: 174000/1989633 | new selected: 236 | total selected: 42189
Diversity chunk 175 | processed unique SMILES: 175000/1989633 | new selected: 0 | total selected: 42189
Diversity chunk 176 | processed unique SMILES: 176000/1989633 | new selected: 0 | total selected: 42189
Diversity chunk 177 | processed unique SMILES: 177000/1989633 | new selected: 0 | total selected: 42189
Diversity chunk 178 | processed unique SMILES: 178000/1989633 | new selected: 240 | total selected: 42429
Diversity chunk 179 | processed unique SMILES: 179000/1989633 | new selected: 301 | total selected: 42730
Diversity chunk 180 | processed unique SMILES: 180000/1989633 | new selected: 212 | total selected: 42942
Diversity chunk 181 | processed unique SMILES: 181000/1989633 | new selected: 284 | total selected: 43226
Diversity chunk 182 | processed unique SMILES: 182000/1989633 | new selected: 179 | total selected: 43405
Diversity chunk 183 | processed unique SMILES: 183000/1989633 | new selected: 242 | total selected: 43647
Diversity chunk 184 | processed unique SMILES: 184000/1989633 | new selected: 176 | total selected: 43823
