iter	RMSE
0	0.6877256286
1	0.6603929438
2	0.6366339565
3	0.6113018678
4	0.5911619807
5	0.5757002522
6	0.554922874
7	0.5386295976
8	0.5267781791
9	0.5107992434
10	0.5008577097
11	0.4871933927
12	0.4771995155
13	0.469545868
14	0.4622544432
15	0.4550031439
16	0.4471332655
17	0.4386888177
18	0.4314346069
19	0.4224622334
20	0.4166026149
21	0.4090574503
22	0.4013971887
23	0.3970516469
24	0.3929522015
25	0.3872597938
26	0.3837131702
27	0.3796483843
28	0.3743759895
29	0.3680765091
30	0.3619731192
31	0.3582435639
32	0.355403308
33	0.3518096164
34	0.3482880175
35	0.3432565284
36	0.3401589233
37	0.3344108295
38	0.3303140693
39	0.3273003235
40	0.3239602537
41	0.3205175751
42	0.3179501712
43	0.3154729075
44	0.3120969428
45	0.3098511026
46	0.3073476704
47	0.3055646595
48	0.3017278262
49	0.2996917237
50	0.2982919434
51	0.2953180273
52	0.2941618849
53	0.291317292
54	0.2876231261
55	0.285813123
56	0.2834879252
57	0.2818058618
58	0.2798058171
59	0.2782705402
60	0.2775406965
61	0.2768738908
62	0.2740081306
63	0.272671656
64	0.270625868
65	0.2683233158
66	0.267432959
67	0.2667621332
68	0.2660209872
69	0.2653326363
70	0.2644266518
71	0.2640030279
72	0.2615989566
73	0.2589377689
74	0.2583049906
75	0.2574041902
76	0.2554005118
77	0.2542102271
78	0.253193285
79	0.252629251
80	0.2516215199
81	0.2488056417
82	0.2468944869
83	0.2451115231
84	0.2434030944
85	0.2415556803
86	0.2408272751
87	0.2392949248
88	0.2369372807
89	0.2345885038
90	0.2334683684
91	0.2329512992
92	0.2310462697
93	0.2305843517
94	0.2282742394
95	0.2260541569
96	0.2252257547
97	0.2248494416
98	0.2233349498
99	0.2203154799
