Min,Max,Range,Mean,Std
4.580233772131237e-05,0.9999943494796752,0.9999485471419539,0.2996189468672794,0.24904940659973032
5.1350110237535776e-05,0.9977880120277404,0.9977366619175029,0.4341095602589543,0.3407947297381849
1.1729164888612811e-05,0.99858478307724,0.9985730539123514,0.5654839957926441,0.33780505677212813
6.1311918408298405e-09,0.9555744409561158,0.9555744348249239,0.2171500608492096,0.21242942734309775
0.0003302557583083,0.9912516355514528,0.9909213797931445,0.23022682120404575,0.1990032717269417
0.0061839619909733,0.9999929189682006,0.9938089569772274,0.4332604402074633,0.2538759272484167
-0.0470737909576493,6.023548300966927,6.070622091924577,2.546885314758539,0.6560443087221696
2.767652654398489e-05,0.9990294098854064,0.9990017333588624,0.2729114247763116,0.25147770885963633
3.4759978291286313e-13,0.9861867547035216,0.986186754703174,0.05812189732253019,0.11064590642787159
1.2412509174869243e-11,0.9657057285308838,0.9657057285184713,0.06835270468847857,0.12083314114513993
7.1774260793733065e-09,0.9968224883079528,0.9968224811305267,0.21696499689787455,0.27968431368994096
4.106196977249351e-08,0.9713156580924988,0.9713156170305289,0.1171195836411495,0.16533285028043299
1.6002352007748568e-07,0.9903622031211852,0.9903620430976651,0.04382944321648907,0.12707617217540199
1.116291477730204e-11,0.9972324371337892,0.9972324371226262,0.062460480374192565,0.14289048331080742
8.950667746085605e-11,0.9976580381393432,0.9976580380498365,0.1725927848860325,0.24456647020545877
6.966953795563581e-10,0.9810817122459412,0.9810817115492458,0.11073869267150364,0.15524100875224858
1.829331594823028e-08,0.9887451887130736,0.9887451704197576,0.05841960971575038,0.11855693861016128
5.172526076204776e-05,0.9909534454345704,0.9909017201738084,0.1491948701667379,0.1567504104684718
2.1370062024943338e-13,0.9843969702720642,0.9843969702718505,0.045957781129479305,0.09922812548664582
0.0027835467364639,0.9999848365783692,0.9972012898419054,0.660631439573494,0.2847367785524205
8.102590591384425e-12,0.9975391030311584,0.9975391030230558,0.29953412913356026,0.3269382441901666
-8.800566476063782,-2.203978563974318,6.596587912089464,-5.176464343277033,0.7204007981714393
8.91286719130191e-06,0.999999952316284,0.9999910394490927,0.8546456963384503,0.2903134048245232
0.0002521639255405,0.9993295669555664,0.9990774030300259,0.6294355810065451,0.3399829689592497
0.0086277875413543,0.9966449737548828,0.9880171862135285,0.7413257404300636,0.21728649013993817
6.3556159996311585e-09,0.9991766214370728,0.9991766150814567,0.25602169754638415,0.3198738882064755
6.051846678900575e-07,0.9994307160377502,0.9994301108530823,0.2747687328837456,0.28957261258138667
0.000228485513071,0.9021860837936402,0.9019575982805692,0.2212024545733527,0.1709940692208342
3.497499065338491e-09,0.9967262864112854,0.9967262829137863,0.20286270468887235,0.25838403875430616
3.216347126508912e-07,0.9446922421455384,0.9446919205108257,0.19506939585778243,0.2049803539477964
1.1835728940239738e-08,0.9986595511436462,0.9986595393079173,0.18214617337653777,0.2479896180800689
0.0038841775254695,0.9683408856391906,0.9644567081137211,0.48170262723980295,0.25794227438925044
5.346218279882252e-16,0.9993095517158508,0.9993095517158502,0.29451766000831253,0.3284591484267908
