
================ Toxicity Prediction Run ================
inputFile               : BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (651810, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 57 | processed unique SMILES: 57000/651810 | new selected: 620 | total selected: 19306
Diversity chunk 58 | processed unique SMILES: 58000/651810 | new selected: 189 | total selected: 19495
Diversity chunk 59 | processed unique SMILES: 59000/651810 | new selected: 225 | total selected: 19720
Diversity chunk 60 | processed unique SMILES: 60000/651810 | new selected: 190 | total selected: 19910
Diversity chunk 61 | processed unique SMILES: 61000/651810 | new selected: 561 | total selected: 20471
Diversity chunk 62 | processed unique SMILES: 62000/651810 | new selected: 510 | total selected: 20981
Diversity chunk 63 | processed unique SMILES: 63000/651810 | new selected: 309 | total selected: 21290
Diversity chunk 64 | processed unique SMILES: 64000/651810 | new selected: 556 | total selected: 21846
Diversity chunk 65 | processed unique SMILES: 65000/651810 | new selected: 300 | total selected: 22146
Diversity chunk 66 | processed unique SMILES: 66000/651810 | new selected: 742 | total selected: 22888
Diversity chunk 67 | processed unique SMILES: 67000/651810 | new selected: 630 | total selected: 23518
Diversity chunk 68 | processed unique SMILES: 68000/651810 | new selected: 442 | total selected: 23960
Diversity chunk 69 | processed unique SMILES: 69000/651810 | new selected: 0 | total selected: 23960
Diversity chunk 70 | processed unique SMILES: 70000/651810 | new selected: 504 | total selected: 24464
Diversity chunk 71 | processed unique SMILES: 71000/651810 | new selected: 406 | total selected: 24870
Diversity chunk 72 | processed unique SMILES: 72000/651810 | new selected: 398 | total selected: 25268
Diversity chunk 73 | processed unique SMILES: 73000/651810 | new selected: 453 | total selected: 25721
Diversity chunk 74 | processed unique SMILES: 74000/651810 | new selected: 257 | total selected: 25978
Diversity chunk 75 | processed unique SMILES: 75000/651810 | new selected: 387 | total selected: 26365
Diversity chunk 76 | processed unique SMILES: 76000/651810 | new selected: 441 | total selected: 26806
Diversity chunk 77 | processed unique SMILES: 77000/651810 | new selected: 88 | total selected: 26894
Diversity chunk 78 | processed unique SMILES: 78000/651810 | new selected: 95 | total selected: 26989
